window_key,window_label,sds_score,tes_score,cdi_score,is_chatgpt_window,comment_count_collected,comment_count_analyzed
2021H1,Jan 2021 - Jun 2021,0.0,0.0,0.0,False,15506,1000
2021H2,Jul 2021 - Dec 2021,0.6221079211520489,0.0,0.31105396057602447,False,15314,1000
2022H1,Jan 2022 - Jun 2022,0.6961411410343071,0.0,0.34807057051715357,False,15599,1000
2022H2,Jul 2022 - Dec 2022,0.7282688254935057,0.0,0.36413441274675284,True,15804,1000
2023H1,Jan 2023 - Jun 2023,0.9853401963736587,0.0,0.49267009818682933,False,15568,1000
2023H2,Jul 2023 - Dec 2023,0.9999997299668845,0.0,0.49999986498344223,False,16404,1000
